,Assay,amplitude,phase_hr,p_cos,p_sin
73,SPON2,0.309500374,3.906456035,2.62E-18,6.85E-35
3,ADM,0.137079431,1.798415874,5.62E-10,0.001025613
37,GUCA2A,0.106605541,0.685045459,7.57E-09,0.272140426
45,KLK13,0.133436204,1.392601113,1.69E-08,0.025405408
79,TNFRSF11B,0.11528212,13.03483615,4.38E-08,0.11393252
1,ACTN2,0.277855637,23.39508104,1.87E-07,0.388034622
39,HS3ST3B1,0.154414388,23.69060433,8.12E-07,0.678964106
8,ANGPTL2,0.145986816,10.75837718,2.02E-06,0.100421361
30,FURIN,0.150583832,14.708083,2.62E-06,5.32E-05
75,TCL1A,0.321913642,22.51882809,3.39E-06,0.052335103
29,FST,0.186749973,12.08507696,3.96E-06,0.915762663
53,MYL3,0.206592356,0.541451191,7.35E-06,0.511686136
60,PRL,0.340878954,2.103273583,2.07E-05,0.008192423
70,SLAMF8,0.147039272,13.68321715,4.38E-05,0.050773098
64,SCG2,0.080200156,22.71860317,0.000235592,0.194333107
62,RNASE6,0.070566252,21.84526828,0.000319082,0.022058758
15,CDH1,0.054451638,10.96584008,0.000571291,0.333884718
10,C1QTNF5,0.052334131,0.945449346,0.000704283,0.387262435
41,HYAL1,0.070876897,9.369237354,0.000882581,0.00626859
34,GLB1,0.222431764,11.50820437,0.000915869,0.664446522
46,LGALS1,0.075925414,12.72589267,0.001320868,0.532934377
33,GDF15,0.085105338,20.91393735,0.00219581,0.00149676
54,P4HB,0.051556284,11.95697476,0.002585637,0.972726741
9,ANGPTL4,0.10676649,11.37191718,0.004060317,0.631512576
58,POMC,0.421471973,8.913179846,0.00418359,0.002948328
82,TNR,0.079708937,9.609849443,0.0042874,0.039309383
27,FAS,0.056143052,10.50417064,0.007786373,0.27064092
50,MFGE8,0.110918115,21.44151374,0.008036826,0.036329105
25,EPO,0.104726155,23.60894029,0.008600651,0.786492798
56,PGF,0.059855422,14.7992997,0.009856877,0.020826498
6,ALPI,0.208318652,23.29148427,0.019577853,0.66106661
16,CPA2,0.157120296,15.83278048,0.021608332,0.000410611
32,GCNT1,0.053495271,8.641800901,0.023739512,0.006946438
35,GP5,0.065464871,9.546641671,0.048978994,0.142571261
5,AGRP,0.121962375,4.093487314,0.077130039,0.001470066
31,GCG,0.150286103,1.431506027,0.084615371,0.498818449
21,EDN1,0.056615911,21.6244008,0.086603302,0.221504407
12,CCN3,0.034140519,23.09959678,0.105005687,0.698094764
2,ADAMTS15,0.097161209,3.069133359,0.106241005,0.096388464
83,TREML1,0.159483145,13.58592015,0.117203775,0.491344498
69,SF3B4,0.157234635,13.55923523,0.130922817,0.515145652
55,PCSK9,0.105121026,3.226928727,0.140531798,0.099609274
14,CD84,0.076387207,9.842732884,0.148860794,0.362635535
51,MUC13,0.042054224,21.08728041,0.151838257,0.173865784
74,SUSD1,0.115094185,14.80305153,0.177002103,0.226319438
38,GZMB,0.062935257,15.52659144,0.188212464,0.084990368
72,SPINK5,0.130694659,5.192108638,0.191765388,1.03E-08
4,AGR3,0.290361759,21.92903147,0.196091243,0.438589407
28,FGF19,0.085157444,11.95729577,0.198934681,0.988587247
78,TMSB10,0.067680908,21.85840341,0.202043484,0.425840286
49,MFAP4,0.050866807,9.974219413,0.208319767,0.463120925
23,EGF,0.109360992,13.36846479,0.264721208,0.677807811
76,TIMP4,0.269099479,17.61519468,0.276865244,2.87E-20
68,SERPINE1,0.047088208,15.01999626,0.283688009,0.282217707
11,CCL3,0.044867922,8.70642523,0.287983825,0.218943933
84,VTA1,0.122133857,11.23708038,0.28863361,0.830757892
80,TNFRSF12A,0.051130279,8.914538225,0.292514485,0.274669564
65,SDC1,0.023833691,8.646961114,0.297735985,0.213833124
67,SEMA4D,0.032925371,13.80427674,0.303012611,0.60078513
43,IL6,0.099433121,23.13416704,0.332801476,0.824239893
17,CPA4,0.107003282,6.649788641,0.333414301,9.65E-08
13,CD40LG,0.080229245,11.28631708,0.342306714,0.85832807
42,IGFBP4,0.042845831,7.938670881,0.409472334,0.141856648
18,CRHBP,0.074626685,5.328557276,0.466460946,7.24E-05
24,EPHA1,0.019464457,14.92415592,0.473173656,0.493698846
57,PLA2G10,0.13681349,18.54787969,0.481218025,3.03E-06
66,SEMA3F,0.023767413,20.32498458,0.482880452,0.318214337
36,GRP,0.022326897,1.827369149,0.511455739,0.73528279
40,HSPB6,0.043663644,16.4922448,0.512181635,0.119569982
77,TMPRSS15,0.210361997,18.68423032,0.525567795,0.000641237
71,SMOC1,0.43204351,17.53666544,0.532775925,1.02E-06
44,INHBB,0.235509927,6.37383811,0.533749777,2.97E-09
20,CXCL8,0.025528574,14.74320697,0.553392611,0.607177183
47,LSP1,0.160612967,18.78144109,0.558312143,0.005676261
63,SBSN,0.024214943,8.361451324,0.648282043,0.524530535
81,TNFSF14,0.12364887,17.32107874,0.652035742,0.013630214
7,ANGPTL1,0.191976813,18.14391481,0.685448899,3.23E-20
22,EFNA1,0.027489323,7.280820633,0.690640456,0.257687118
61,PTH,0.059080952,16.78693065,0.725332079,0.289542105
52,MYBPC1,0.091057302,18.6856599,0.758026113,0.093607293
48,MEP1A,0.074386509,18.45755277,0.772425404,0.018148071
26,FAM3B,0.034966177,18.48055224,0.792273738,0.040210414
59,PPY,0.454823514,18.08916921,0.852003755,4.17E-13
19,CTSE,0.017345826,19.79705014,0.891279318,0.789643989
,GIP,Not found ,,,
,PLAT ,not found ,,,
