FID,Name,Type,r2_PCs,r2_Residuals,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel
20280,Glucose-lactate,Metabolites,0.00183,0.86452,0.02102,0.00813,0.01186,0.02444,0.00015,0.00218,0.00068,0.00054,0.03358,0.03081,0.00027,,,,,,,6e-91,NA,0,0,0,0,2e-11,2e-135,9e-30,2e-36,0,0,2e-19,NA,NA,NA,NA,NA,NA
20281,Alanine,Metabolites,0.00461,0.87135,0.00317,0.00561,0.03043,0.01764,0.01747,0.0019,0.01543,0.00195,0.00012,0.00076,0.02956,,,,,,,7e-179,NA,1e-163,0,0,0,0,3e-117,0,5e-130,7e-06,2e-38,0,NA,NA,NA,NA,NA,NA
23400,Total Cholesterol,Metabolites,0.00365,0.85881,0.02196,0.00389,0.00493,0.00899,5e-04,0.0012,0.06963,0.00041,0.02021,0.00581,1e-05,,,,,,,4e-203,NA,0,3e-243,0,0,2e-35,2e-73,0,2e-28,0,0,0.1,NA,NA,NA,NA,NA,NA
23401,Total Cholesterol Minus HDL-C,Metabolites,0.00295,0.91882,0.02491,0.00379,0.00332,7e-05,0.00046,0.00112,0.02463,0.00062,0.01496,0.0037,0.00065,,,,,,,2e-162,NA,0,3e-220,7e-198,5e-06,1e-30,3e-63,0,1e-39,0,8e-216,8e-43,NA,NA,NA,NA,NA,NA
23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",Metabolites,0.00405,0.92633,0.02491,0.00419,0.0024,0.00105,0.00011,0.00127,0.02611,0.00087,0.00777,0.00081,0.00014,,,,,,,5e-228,NA,0,5e-243,5e-139,1e-67,1e-08,1e-71,0,3e-55,0,9e-39,3e-10,NA,NA,NA,NA,NA,NA
23403,VLDL Cholesterol,Metabolites,0.00578,0.91979,0.02384,0.00441,0.00205,0.02259,0,0.00114,0.0139,0.00163,0.0041,0.00037,4e-04,,,,,,,2e-300,NA,0,1e-258,2e-118,0,0.4,2e-64,2e-72,2e-103,4e-252,3e-14,5e-27,NA,NA,NA,NA,NA,NA
23404,Clinical LDL Cholesterol,Metabolites,0.00145,0.91316,0.02197,0.00307,0.00328,0.00088,0.00147,0.00092,0.02468,0.00089,0.02068,0.00413,0.00344,,,,,,,2e-73,NA,0,7e-177,2e-196,9e-58,4e-95,5e-51,0,7e-57,0,2e-243,6e-220,NA,NA,NA,NA,NA,NA
23405,LDL Cholesterol,Metabolites,0.00189,0.90482,0.02355,0.00336,0.0059,0.00013,0.00095,0.00101,0.02142,0.00046,0.02464,0.00838,0.00349,,,,,,,1e-98,NA,0,5e-197,0,8e-10,5e-63,1e-57,0,6e-30,0,0,1e-225,NA,NA,NA,NA,NA,NA
23406,HDL Cholesterol,Metabolites,0.00319,0.69356,0.00219,0.00315,0.00403,0.08616,6e-05,0.00069,0.18544,0.0024,0.01099,0.00439,0.00376,,,,,,,4e-94,NA,7e-148,1e-243,0,0,8e-07,7e-51,0,1e-200,0,0,1e-315,NA,NA,NA,NA,NA,NA
23407,Total Triglycerides,Metabolites,0.0087,0.83162,0.01665,0.00536,0.00268,0.07721,0.00262,0.00079,0.04247,0.00494,0.00265,0.00166,0.00266,,,,,,,0,NA,0,0,3e-175,0,9e-185,6e-48,0,0,8e-179,1e-100,2e-187,NA,NA,NA,NA,NA,NA
23408,Triglycerides in VLDL,Metabolites,0.00887,0.82005,0.01333,0.00541,0.00271,0.08094,0.00271,0.00082,0.05531,0.00412,0.00237,0.00122,0.00215,,,,,,,0,NA,0,0,3e-180,0,3e-193,2e-50,0,3e-291,7e-162,2e-72,9e-154,NA,NA,NA,NA,NA,NA
23409,Triglycerides in LDL,Metabolites,0.00406,0.88767,0.02691,0.00351,0.00315,0.04555,0.00016,0.00056,0.01013,0.00733,0.00364,0.00649,0.00085,,,,,,,2e-200,NA,0,7e-210,2e-193,0,4e-12,4e-30,5e-179,0,1e-230,0,1e-57,NA,NA,NA,NA,NA,NA
23410,Triglycerides in HDL,Metabolites,0.00525,0.90567,0.02091,0.00402,0.00227,0.03408,0.00398,0.00056,0.00398,0.00503,0.00433,0.00106,0.00886,,,,,,,9e-299,NA,0,1e-237,2e-134,0,6e-256,3e-29,4e-24,2e-321,6e-270,5e-55,0,NA,NA,NA,NA,NA,NA
23411,Total Phospholipids in Lipoprotein Particles,Metabolites,0.00685,0.83331,0.02372,0.00416,0.00696,0.00352,1e-05,0.00162,0.09215,0.00024,0.01564,0.0075,0.00433,,,,,,,0,NA,0,2e-269,0,2e-246,0.05,3e-104,0,3e-17,0,0,4e-303,NA,NA,NA,NA,NA,NA
23412,Phospholipids in VLDL,Metabolites,0.00729,0.8803,0.02124,0.00492,0.00222,0.05019,0.00041,0.00105,0.0249,0.00282,0.00294,0.00071,0.001,,,,,,,0,NA,0,9e-304,5e-135,0,4e-29,2e-61,0,3e-186,5e-188,4e-35,5e-68,NA,NA,NA,NA,NA,NA
23413,Phospholipids in LDL,Metabolites,0.00165,0.91535,0.02334,0.00325,0.00468,0.00019,0.00122,0.00101,0.01783,4e-04,0.02031,0.00716,0.00361,,,,,,,3e-86,NA,0,1e-187,3e-283,6e-14,2e-79,3e-56,0,3e-26,0,0,1e-230,NA,NA,NA,NA,NA,NA
23414,Phospholipids in HDL,Metabolites,0.00465,0.74516,0.00642,0.0021,0.00498,0.03954,0.00025,0.001,0.1691,0.00169,0.00856,0.00497,0.01159,,,,,,,1e-194,NA,0,6e-146,0,0,4e-21,3e-70,0,1e-131,0,0,0,NA,NA,NA,NA,NA,NA
23415,Total Esterified Cholesterol,Metabolites,0.00335,0.84783,0.02087,0.00381,0.00529,0.01204,0.00062,0.00116,0.0756,0.00045,0.02244,0.0065,4e-05,,,,,,,4e-181,NA,0,3e-241,0,0,4e-44,2e-71,0,9e-32,0,0,0.0002,NA,NA,NA,NA,NA,NA
