FID Name Type Covariate R2 pvalue
20280 Glucose-lactate Metabolites PCs 0.00183 6e-91
20280 Glucose-lactate Metabolites age_recruitment 0.02102 0
20280 Glucose-lactate Metabolites assessment_centre 0.00813 0
20280 Glucose-lactate Metabolites batch 0.01186 0
20280 Glucose-lactate Metabolites bmi 0.02444 0
20280 Glucose-lactate Metabolites fasting 0.00015 2e-11
20280 Glucose-lactate Metabolites month_attending 0.00218 2e-135
20280 Glucose-lactate Metabolites sex 0.00068 9e-30
20280 Glucose-lactate Metabolites smoking 0.00054 2e-36
20280 Glucose-lactate Metabolites spectrometer 0.03358 0
20280 Glucose-lactate Metabolites time_analysis 0.03081 0
20280 Glucose-lactate Metabolites time_day 0.00027 2e-19
20281 Alanine Metabolites PCs 0.00461 7e-179
20281 Alanine Metabolites age_recruitment 0.00317 1e-163
20281 Alanine Metabolites assessment_centre 0.00561 0
20281 Alanine Metabolites batch 0.03043 0
20281 Alanine Metabolites bmi 0.01764 0
20281 Alanine Metabolites fasting 0.01747 0
20281 Alanine Metabolites month_attending 0.0019 3e-117
20281 Alanine Metabolites sex 0.01543 0
20281 Alanine Metabolites smoking 0.00195 5e-130
20281 Alanine Metabolites spectrometer 0.00012 7e-06
20281 Alanine Metabolites time_analysis 0.00076 2e-38
20281 Alanine Metabolites time_day 0.02956 0
23400 "Total Cholesterol" Metabolites PCs 0.00365 4e-203
23400 "Total Cholesterol" Metabolites age_recruitment 0.02196 0
23400 "Total Cholesterol" Metabolites assessment_centre 0.00389 3e-243
23400 "Total Cholesterol" Metabolites batch 0.00493 0
23400 "Total Cholesterol" Metabolites bmi 0.00899 0
23400 "Total Cholesterol" Metabolites fasting 5e-04 2e-35
23400 "Total Cholesterol" Metabolites month_attending 0.0012 2e-73
23400 "Total Cholesterol" Metabolites sex 0.06963 0
23400 "Total Cholesterol" Metabolites smoking 0.00041 2e-28
23400 "Total Cholesterol" Metabolites spectrometer 0.02021 0
23400 "Total Cholesterol" Metabolites time_analysis 0.00581 0
23400 "Total Cholesterol" Metabolites time_day 1e-05 0.1
23401 "Total Cholesterol Minus HDL-C" Metabolites PCs 0.00295 2e-162
23401 "Total Cholesterol Minus HDL-C" Metabolites age_recruitment 0.02491 0
23401 "Total Cholesterol Minus HDL-C" Metabolites assessment_centre 0.00379 3e-220
23401 "Total Cholesterol Minus HDL-C" Metabolites batch 0.00332 7e-198
23401 "Total Cholesterol Minus HDL-C" Metabolites bmi 7e-05 5e-06
23401 "Total Cholesterol Minus HDL-C" Metabolites fasting 0.00046 1e-30
23401 "Total Cholesterol Minus HDL-C" Metabolites month_attending 0.00112 3e-63
23401 "Total Cholesterol Minus HDL-C" Metabolites sex 0.02463 0
23401 "Total Cholesterol Minus HDL-C" Metabolites smoking 0.00062 1e-39
23401 "Total Cholesterol Minus HDL-C" Metabolites spectrometer 0.01496 0
23401 "Total Cholesterol Minus HDL-C" Metabolites time_analysis 0.0037 8e-216
23401 "Total Cholesterol Minus HDL-C" Metabolites time_day 0.00065 8e-43
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites PCs 0.00405 5e-228
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites age_recruitment 0.02491 0
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites assessment_centre 0.00419 5e-243
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites batch 0.0024 5e-139
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites bmi 0.00105 1e-67
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites fasting 0.00011 1e-08
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites month_attending 0.00127 1e-71
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites sex 0.02611 0
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites smoking 0.00087 3e-55
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites spectrometer 0.00777 0
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites time_analysis 0.00081 9e-39
23402 "Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)" Metabolites time_day 0.00014 3e-10
23403 "VLDL Cholesterol" Metabolites PCs 0.00578 2e-300
23403 "VLDL Cholesterol" Metabolites age_recruitment 0.02384 0
23403 "VLDL Cholesterol" Metabolites assessment_centre 0.00441 1e-258
23403 "VLDL Cholesterol" Metabolites batch 0.00205 2e-118
23403 "VLDL Cholesterol" Metabolites bmi 0.02259 0
23403 "VLDL Cholesterol" Metabolites fasting 0 0.4
23403 "VLDL Cholesterol" Metabolites month_attending 0.00114 2e-64
23403 "VLDL Cholesterol" Metabolites sex 0.0139 2e-72
23403 "VLDL Cholesterol" Metabolites smoking 0.00163 2e-103
23403 "VLDL Cholesterol" Metabolites spectrometer 0.0041 4e-252
23403 "VLDL Cholesterol" Metabolites time_analysis 0.00037 3e-14
23403 "VLDL Cholesterol" Metabolites time_day 4e-04 5e-27
23404 "Clinical LDL Cholesterol" Metabolites PCs 0.00145 2e-73
23404 "Clinical LDL Cholesterol" Metabolites age_recruitment 0.02197 0
23404 "Clinical LDL Cholesterol" Metabolites assessment_centre 0.00307 7e-177
23404 "Clinical LDL Cholesterol" Metabolites batch 0.00328 2e-196
23404 "Clinical LDL Cholesterol" Metabolites bmi 0.00088 9e-58
23404 "Clinical LDL Cholesterol" Metabolites fasting 0.00147 4e-95
23404 "Clinical LDL Cholesterol" Metabolites month_attending 0.00092 5e-51
23404 "Clinical LDL Cholesterol" Metabolites sex 0.02468 0
23404 "Clinical LDL Cholesterol" Metabolites smoking 0.00089 7e-57
23404 "Clinical LDL Cholesterol" Metabolites spectrometer 0.02068 0
23404 "Clinical LDL Cholesterol" Metabolites time_analysis 0.00413 2e-243
23404 "Clinical LDL Cholesterol" Metabolites time_day 0.00344 6e-220
23405 "LDL Cholesterol" Metabolites PCs 0.00189 1e-98
23405 "LDL Cholesterol" Metabolites age_recruitment 0.02355 0
23405 "LDL Cholesterol" Metabolites assessment_centre 0.00336 5e-197
23405 "LDL Cholesterol" Metabolites batch 0.0059 0
23405 "LDL Cholesterol" Metabolites bmi 0.00013 8e-10
23405 "LDL Cholesterol" Metabolites fasting 0.00095 5e-63
23405 "LDL Cholesterol" Metabolites month_attending 0.00101 1e-57
23405 "LDL Cholesterol" Metabolites sex 0.02142 0
23405 "LDL Cholesterol" Metabolites smoking 0.00046 6e-30
23405 "LDL Cholesterol" Metabolites spectrometer 0.02464 0
23405 "LDL Cholesterol" Metabolites time_analysis 0.00838 0
23405 "LDL Cholesterol" Metabolites time_day 0.00349 1e-225
23406 "HDL Cholesterol" Metabolites PCs 0.00319 4e-94
23406 "HDL Cholesterol" Metabolites age_recruitment 0.00219 7e-148
23406 "HDL Cholesterol" Metabolites assessment_centre 0.00315 1e-243
23406 "HDL Cholesterol" Metabolites batch 0.00403 0
23406 "HDL Cholesterol" Metabolites bmi 0.08616 0
23406 "HDL Cholesterol" Metabolites fasting 6e-05 8e-07
23406 "HDL Cholesterol" Metabolites month_attending 0.00069 7e-51
23406 "HDL Cholesterol" Metabolites sex 0.18544 0
23406 "HDL Cholesterol" Metabolites smoking 0.0024 1e-200
23406 "HDL Cholesterol" Metabolites spectrometer 0.01099 0
23406 "HDL Cholesterol" Metabolites time_analysis 0.00439 0
23406 "HDL Cholesterol" Metabolites time_day 0.00376 1e-315
23407 "Total Triglycerides" Metabolites PCs 0.0087 0
