FID,Name,Type,r2_PCs,r2_Residuals,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel,Label
20280,Glucose-lactate,Metabolites,0.00183,0.86452,0.02102,0.00813,0.01186,0.02444,0.00015,0.00218,0.00068,0.00054,0.03358,0.03081,0.00027,,,,,,,5.999999999999999e-91,,0.0,0.0,0.0,0.0,2e-11,2e-135,9e-30,2e-36,0.0,0.0,2e-19,,,,,,,gluc_lact
20281,Alanine,Metabolites,0.00461,0.87135,0.00317,0.00561,0.03043,0.01764,0.01747,0.0019,0.01543,0.00195,0.00012,0.00076,0.02956,,,,,,,7e-179,,1.0000000000000001e-163,0.0,0.0,0.0,0.0,3e-117,0.0,5e-130,7e-06,2e-38,0.0,,,,,,,alan
23400,Total Cholesterol,Metabolites,0.00365,0.85881,0.02196,0.00389,0.00493,0.00899,0.0005,0.0012,0.06963,0.00041,0.02021,0.00581,1e-05,,,,,,,4e-203,,0.0,2.9999999999999996e-243,0.0,0.0,2e-35,2e-73,0.0,2.0000000000000002e-28,0.0,0.0,0.1,,,,,,,T_Chol
23401,Total Cholesterol Minus HDL-C,Metabolites,0.00295,0.91882,0.02491,0.00379,0.00332,7e-05,0.00046,0.00112,0.02463,0.00062,0.01496,0.0037,0.00065,,,,,,,2.0000000000000002e-162,,0.0,3e-220,7e-198,5e-06,9.999999999999999e-31,3e-63,0.0,1.0000000000000001e-39,0.0,8e-216,8e-43,,,,,,,T_Chol_minu_HDL
23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",Metabolites,0.00405,0.92633,0.02491,0.00419,0.0024,0.00105,0.00011,0.00127,0.02611,0.00087,0.00777,0.00081,0.00014,,,,,,,5.0000000000000003e-228,,0.0,5e-243,4.9999999999999996e-139,1e-67,1e-08,1e-71,0.0,2.9999999999999998e-55,0.0,9e-39,3e-10,,,,,,,remn_Chol_non_H
23403,VLDL Cholesterol,Metabolites,0.00578,0.91979,0.02384,0.00441,0.00205,0.02259,0.0,0.00114,0.0139,0.00163,0.0041,0.00037,0.0004,,,,,,,2e-300,,0.0,1e-258,2e-118,0.0,0.4,2e-64,2.0000000000000002e-72,2e-103,4e-252,3e-14,5e-27,,,,,,,VLDL_Chol
23404,Clinical LDL Cholesterol,Metabolites,0.00145,0.91316,0.02197,0.00307,0.00328,0.00088,0.00147,0.00092,0.02468,0.00089,0.02068,0.00413,0.00344,,,,,,,2e-73,,0.0,7e-177,2e-196,9e-58,4e-95,5e-51,0.0,7e-57,0.0,1.9999999999999997e-243,6e-220,,,,,,,clin_LDL_Chol
23405,LDL Cholesterol,Metabolites,0.00189,0.90482,0.02355,0.00336,0.0059,0.00013,0.00095,0.00101,0.02142,0.00046,0.02464,0.00838,0.00349,,,,,,,1e-98,,0.0,5e-197,0.0,8e-10,5e-63,1e-57,0.0,6e-30,0.0,0.0,1.0000000000000001e-225,,,,,,,LDL_Chol
23406,HDL Cholesterol,Metabolites,0.00319,0.69356,0.00219,0.00315,0.00403,0.08616,6e-05,0.00069,0.18544,0.0024,0.01099,0.00439,0.00376,,,,,,,4e-94,,7e-148,9.999999999999999e-244,0.0,0.0,8e-07,7e-51,0.0,1e-200,0.0,0.0,1e-315,,,,,,,HDL_Chol
23407,Total Triglycerides,Metabolites,0.0087,0.83162,0.01665,0.00536,0.00268,0.07721,0.00262,0.00079,0.04247,0.00494,0.00265,0.00166,0.00266,,,,,,,0.0,,0.0,0.0,3e-175,0.0,9e-185,6e-48,0.0,0.0,8e-179,1e-100,2.0000000000000003e-187,,,,,,,T_TG
23408,Triglycerides in VLDL,Metabolites,0.00887,0.82005,0.01333,0.00541,0.00271,0.08094,0.00271,0.00082,0.05531,0.00412,0.00237,0.00122,0.00215,,,,,,,0.0,,0.0,0.0,3e-180,0.0,3e-193,1.9999999999999998e-50,0.0,3e-291,7.000000000000001e-162,2.0000000000000002e-72,9e-154,,,,,,,TG_in_VLDL
23409,Triglycerides in LDL,Metabolites,0.00406,0.88767,0.02691,0.00351,0.00315,0.04555,0.00016,0.00056,0.01013,0.00733,0.00364,0.00649,0.00085,,,,,,,2e-200,,0.0,7e-210,1.9999999999999999e-193,0.0,4e-12,3.9999999999999996e-30,5e-179,0.0,9.999999999999999e-231,0.0,1e-57,,,,,,,TG_in_LDL
23410,Triglycerides in HDL,Metabolites,0.00525,0.90567,0.02091,0.00402,0.00227,0.03408,0.00398,0.00056,0.00398,0.00503,0.00433,0.00106,0.00886,,,,,,,8.999999999999999e-299,,0.0,1.0000000000000001e-237,2e-134,0.0,6e-256,3e-29,4.0000000000000004e-24,2e-321,5.999999999999999e-270,5e-55,0.0,,,,,,,TG_in_HDL
23411,Total Phospholipids in Lipoprotein Particles,Metabolites,0.00685,0.83331,0.02372,0.00416,0.00696,0.00352,1e-05,0.00162,0.09215,0.00024,0.01564,0.0075,0.00433,,,,,,,0.0,,0.0,2e-269,0.0,2e-246,0.05,3e-104,0.0,3e-17,0.0,0.0,4e-303,,,,,,,T_PL_in_lipo_pa
23412,Phospholipids in VLDL,Metabolites,0.00729,0.8803,0.02124,0.00492,0.00222,0.05019,0.00041,0.00105,0.0249,0.00282,0.00294,0.00071,0.001,,,,,,,0.0,,0.0,9.000000000000001e-304,5e-135,0.0,4.0000000000000003e-29,2e-61,0.0,3e-186,5e-188,4e-35,5.0000000000000005e-68,,,,,,,PL_in_VLDL
