FID,Name,Type,estimate_mesor,std.error_mesor,p.value_mesor,estimate_beta_cos1,std.error_beta_cos1,p.value_beta_cos1,estimate_beta_sin1,std.error_beta_sin1,p.value_beta_sin1,amplitude_24hfreq,acrophase_24hfreq,pvalue_h
30600,Albumin,Biochemistry,0.00365,0.00029,7e-36,0.00511,0.00031,2e-59,0.00132,0.00025,8e-08,0.00527747094860284,0.968733434764165,2.44795844056489e-59
30610,Alkaline phosphatase,Biochemistry,-0.00395,0.00132,0.003,-0.00199,0.00143,0.2,-0.00629,0.00112,2e-08,0.00659468905359003,16.8316084322703,1.76927312090902e-08
30620,Alanine aminotransferase,Biochemistry,0.00126,0.00209,0.5,-0.00113,0.00225,0.6,0.00442,0.00176,0.01,0.00456287681274645,6.95995610542342,0.0121413018194394
30630,Apolipoprotein A,Biochemistry,0.01124,0.00082,5e-43,0.00874,0.00088,4e-23,0.01367,0.00069,5e-87,0.0162250844314379,3.82602949648604,4.66282980300045e-87
30640,Apolipoprotein B,Biochemistry,0.00611,0.00114,8e-08,-0.00118,0.00123,0.3,0.01556,0.00096,7e-59,0.0156026743265842,6.2889149878466,6.71109301500285e-59
30650,Aspartate aminotransferase,Biochemistry,-0.00287,0.00131,0.03,6e-05,0.00141,1,-0.00664,0.00111,2e-09,0.00663796684047535,18.034053769338,2.00638008058075e-09
30660,Direct bilirubin,Biochemistry,-0.01834,0.00182,8e-24,-0.05093,0.00198,1e-145,0.03242,0.00152,2e-101,0.0603747441030922,9.83455550663588,9.7497382836695e-146
30670,Urea,Biochemistry,0.02336,0.00115,2e-92,0.04681,0.00124,8e-314,-0.0108,0.00097,6e-29,0.0480421297537468,23.1341531440439,1.11254086424328e-308
30680,Calcium,Biochemistry,0.00094,2e-04,2e-06,0.00105,0.00021,9e-07,7e-04,0.00017,3e-05,0.00126017047246547,2.25475615883486,8.8998775291973e-07
30690,Cholesterol,Biochemistry,0.00478,0.00097,9e-07,0.00493,0.00105,3e-06,0.00415,0.00082,4e-07,0.00644217723948561,2.67572754987789,4.26770460387882e-07
30700,Creatinine,Biochemistry,0.00973,0.00082,1e-32,0.02063,0.00088,1e-120,-0.00605,0.00069,2e-18,0.0215022952637041,22.9104272258557,1.22773775842272e-120
30710,C-reactive protein,Biochemistry,-0.03517,0.00517,1e-11,-0.04513,0.00557,6e-16,-0.01842,0.00436,2e-05,0.0487489312290956,13.4804744396796,5.52988642528297e-16
30720,Cystatin C,Biochemistry,0.00764,0.00074,3e-25,0.01251,0.00079,5e-56,3e-04,0.00062,0.6,0.0125180572648574,0.0902663474292531,5.17088225129897e-56
30730,Gamma glutamyltransferase,Biochemistry,-0.02431,0.00289,4e-17,-0.0309,0.00311,3e-23,-0.01313,0.00244,7e-08,0.033575521445471,13.5346994892209,3.14953307443054e-23
30740,Glucose,Biochemistry,-0.01835,9e-04,9e-93,-0.02147,0.00097,6e-109,-0.01246,0.00076,1e-60,0.0248248481727281,14.0079376460843,6.4691076047476e-109
30750,Glycated haemoglobin (HbA1c),Biochemistry,-0.00779,0.00075,1e-25,-0.00675,8e-04,5e-17,-0.00854,0.00063,4e-42,0.010883544420062,15.446444688787,4.17437518322306e-42
30760,HDL cholesterol,Biochemistry,0.01322,0.0012,3e-28,0.01279,0.00129,5e-23,0.01266,0.00101,9e-36,0.0179925955999955,2.98122613187546,8.96629831944524e-36
30770,IGF-1,Biochemistry,0.01196,0.00131,6e-20,0.01232,0.00141,3e-18,0.01042,0.00111,4e-21,0.0161375514434183,2.68096222344219,4.18732406527827e-21
30780,LDL direct,Biochemistry,0.00831,0.00122,8e-12,0.00299,0.00131,0.02,0.01487,0.00103,2e-47,0.0151698003960031,5.24278635343151,1.72930442950505e-47
