FID Name Type estimate_mesor std.error_mesor p.value_mesor estimate_beta_cos1 std.error_beta_cos1 p.value_beta_cos1 estimate_beta_sin1 std.error_beta_sin1 p.value_beta_sin1 amplitude_24hfreq acrophase_24hfreq pvalue_h
30600 Albumin Biochemistry 0.00365 0.00029 7e-36 0.00511 0.00031 2e-59 0.00132 0.00025 8e-08 0.00527747094860284 0.968733434764165 2e-59
30610 "Alkaline phosphatase" Biochemistry -0.00395 0.00132 0.003 -0.00199 0.00143 0.2 -0.00629 0.00112 2e-08 0.00659468905359003 16.8316084322703 2e-08
30620 "Alanine aminotransferase" Biochemistry 0.00126 0.00209 0.5 -0.00113 0.00225 0.6 0.00442 0.00176 0.01 0.00456287681274645 6.95995610542342 0.01
30630 "Apolipoprotein A" Biochemistry 0.01124 0.00082 5e-43 0.00874 0.00088 4e-23 0.01367 0.00069 5e-87 0.0162250844314379 3.82602949648604 5e-87
30640 "Apolipoprotein B" Biochemistry 0.00611 0.00114 8e-08 -0.00118 0.00123 0.3 0.01556 0.00096 7e-59 0.0156026743265842 6.2889149878466 7e-59
30650 "Aspartate aminotransferase" Biochemistry -0.00287 0.00131 0.03 6e-05 0.00141 1 -0.00664 0.00111 2e-09 0.00663796684047535 18.034053769338 2e-09
30660 "Direct bilirubin" Biochemistry -0.01834 0.00182 8e-24 -0.05093 0.00198 1e-145 0.03242 0.00152 2e-101 0.0603747441030922 9.83455550663588 1e-145
30670 Urea Biochemistry 0.02336 0.00115 2e-92 0.04681 0.00124 8e-314 -0.0108 0.00097 6e-29 0.0480421297537468 23.1341531440439 8e-314
30680 Calcium Biochemistry 0.00094 2e-04 2e-06 0.00105 0.00021 9e-07 7e-04 0.00017 3e-05 0.00126017047246547 2.25475615883486 9e-07
30690 Cholesterol Biochemistry 0.00478 0.00097 9e-07 0.00493 0.00105 3e-06 0.00415 0.00082 4e-07 0.00644217723948561 2.67572754987789 4e-07
30700 Creatinine Biochemistry 0.00973 0.00082 1e-32 0.02063 0.00088 1e-120 -0.00605 0.00069 2e-18 0.0215022952637041 22.9104272258557 1e-120
30710 "C-reactive protein" Biochemistry -0.03517 0.00517 1e-11 -0.04513 0.00557 6e-16 -0.01842 0.00436 2e-05 0.0487489312290956 13.4804744396796 6e-16
30720 "Cystatin C" Biochemistry 0.00764 0.00074 3e-25 0.01251 0.00079 5e-56 3e-04 0.00062 0.6 0.0125180572648574 0.0902663474292531 5e-56
30730 "Gamma glutamyltransferase" Biochemistry -0.02431 0.00289 4e-17 -0.0309 0.00311 3e-23 -0.01313 0.00244 7e-08 0.033575521445471 13.5346994892209 3e-23
30740 Glucose Biochemistry -0.01835 9e-04 9e-93 -0.02147 0.00097 6e-109 -0.01246 0.00076 1e-60 0.0248248481727281 14.0079376460843 6e-109
30750 "Glycated haemoglobin (HbA1c)" Biochemistry -0.00779 0.00075 1e-25 -0.00675 8e-04 5e-17 -0.00854 0.00063 4e-42 0.010883544420062 15.446444688787 4e-42
30760 "HDL cholesterol" Biochemistry 0.01322 0.0012 3e-28 0.01279 0.00129 5e-23 0.01266 0.00101 9e-36 0.0179925955999955 2.98122613187546 9e-36
30770 IGF-1 Biochemistry 0.01196 0.00131 6e-20 0.01232 0.00141 3e-18 0.01042 0.00111 4e-21 0.0161375514434183 2.68096222344219 4e-21
30780 "LDL direct" Biochemistry 0.00831 0.00122 8e-12 0.00299 0.00131 0.02 0.01487 0.00103 2e-47 0.0151698003960031 5.24278635343151 2e-47
30790 "Lipoprotein A" Biochemistry -0.01119 0.00614 0.07 -0.01552 0.00662 0.02 -0.0043 0.00519 0.4 0.0161089603263922 13.0326420517307 0.02
30800 Oestradiol Biochemistry 0.0144 0.00623 0.02 0.00639 0.00684 0.4 0.02557 0.00536 2e-06 0.026357476310295 5.06480690353485 2e-06
30810 Phosphate Biochemistry -0.03244 0.00068 0 -0.00415 0.00073 1e-08 -0.0683 0.00057 0 0.0684261661404963 17.7680525695317 0
30820 "Rheumatoid factor" Biochemistry -0.02058 0.01006 0.04 -0.02396 0.01076 0.03 -0.01379 0.00846 0.1 0.0276416960351178 13.9952962393773 0.03
30830 SHBG Biochemistry 0.00959 0.00235 4e-05 0.0088 0.00253 0.0005 0.00983 0.00198 7e-07 0.0131957234349584 3.2114405991802 7e-07
30840 "Total bilirubin" Biochemistry -0.02747 0.00181 7e-52 -0.09422 0.00195 0 0.06637 0.00153 0 0.11524465270434 9.65589551465318 0
30850 Testosterone Biochemistry -0.0317 0.00207 8e-53 -0.06534 0.00224 4e-187 0.01754 0.00175 9e-24 0.0676526943139632 10.9981218197558 4e-187
30860 "Total protein" Biochemistry 0.00252 0.00028 5e-19 0.00227 0.00031 1e-13 0.00265 0.00024 2e-28 0.00348732129863725 3.29037706804164 2e-28
30870 Triglycerides Biochemistry -0.08348 0.00242 3e-261 -0.03775 0.00261 2e-47 -0.13871 0.00204 0 0.143753348741266 16.9850912956255 0
30880 Urate Biochemistry 0.00286 0.0011 0.009 -0.00154 0.00119 0.2 0.00862 0.00093 2e-20 0.00875782588664755 6.67694758516123 2e-20
30890 "Vitamin D" Biochemistry 0.00568 0.00211 0.007 -0.0061 0.00228 0.007 0.02132 0.00178 7e-33 0.0221711507916888 7.06449759077014 7e-33
30000 "Leukocyte count" "Cell counts" -0.04716 0.00119 0 0.00561 0.00129 1e-05 -0.11494 0.00101 0 0.115077114680312 18.1863885061125 0
30010 "Red blood cell (erythrocyte) count" "Cell counts" 0.00464 4e-04 3e-31 -0.00179 0.00043 3e-05 0.013 0.00034 0 0.01312744721796 6.52290011918583 0
30020 "Haemoglobin concentration" "Cell counts" 0.00253 0.00035 7e-13 -0.00333 0.00038 2e-18 0.0103 3e-04 2e-261 0.0108234669952444 7.19383899859057 2e-261
30030 "Haematocrit percentage" "Cell counts" 0.00381 0.00036 3e-26 -0.00324 0.00039 5e-17 0.01309 3e-04 0 0.0134831295032211 6.92802225157927 0
30040 "Mean corpuscular volume" "Cell counts" -0.00083 0.00024 0.0004 -0.00145 0.00025 1e-08 9e-05 2e-04 0.7 0.00145089586956193 11.7715283974112 1e-08
30050 "Mean corpuscular haemoglobin" "Cell counts" -0.00207 0.00029 4e-13 -0.00148 0.00031 1e-06 -0.00268 0.00024 9e-29 0.00306590183274376 16.0694382284302 9e-29
30060 "Mean corpuscular haemoglobin concentration" "Cell counts" -0.00125 0.00013 3e-22 -6e-05 0.00014 0.7 -0.00278 0.00011 5e-142 0.00277716334733847 17.9216702059961 5e-142
30070 "Red blood cell (erythrocyte) distribution width" "Cell counts" -0.00073 0.00032 0.02 -0.00126 0.00034 0.0002 6e-05 0.00027 0.8 0.00125747824931481 11.8166904074912 0.0002
30080 "Platelet count" "Cell counts" -0.00497 0.00114 1e-05 0.00099 0.00123 0.4 -0.01266 0.00096 2e-39 0.0126996228082566 18.2988180069072 2e-39
30090 "Platelet crit" "Cell counts" -0.00882 0.001 1e-18 -0.00347 0.00108 0.001 -0.01533 0.00084 7e-74 0.0157224016441519 17.1496063542506 7e-74
30100 "Mean platelet (thrombocyte) volume" "Cell counts" -0.00378 0.00055 5e-12 -0.00437 0.00059 1e-13 -0.00263 0.00046 1e-08 0.00510453354879167 14.0680501053761 1e-13
30110 "Platelet distribution width" "Cell counts" -0.00091 0.00015 1e-09 0.00021 0.00016 0.2 -0.00235 0.00013 9e-78 0.00235729757874133 18.3371307230836 9e-78
30120 "Lymphocyte count" "Cell counts" 0.0064 0.00151 2e-05 0.08419 0.00163 0 -0.10023 0.00127 0 0.130901504609901 20.6686784696819 0
30130 "Monocyte count" "Cell counts" 0.02836 0.00173 1e-60 0.09023 0.00186 0 -0.05848 0.00146 0 0.107527138650742 21.8033528558931 0
30140 "Neutrophill count" "Cell counts" -0.08633 0.00158 0 -0.04482 0.00171 7e-152 -0.13531 0.00134 0 0.142540099241758 16.7781975104598 0
30150 "Eosinophill count" "Cell counts" 0.0965 0.00317 7e-204 0.14966 0.00341 0 0.01622 0.00268 1e-09 0.150536206044687 0.412240785579929 0
30160 "Basophill count" "Cell counts" -0.05331 0.00368 2e-47 0.01914 0.00392 1e-06 -0.1411 0.00314 0 0.142391415335376 18.5149129176258 0
30170 "Nucleated red blood cell count" "Cell counts" 0.01171 0.02549 0.6 0.068 0.02903 0.02 -0.07887 0.02195 0.0003 0.104140007962387 20.7177003244279 0.0003
30180 "Lymphocyte percentage" "Cell counts" 0.05378 0.0013 0 0.07879 0.0014 0 0.01494 0.00109 2e-42 0.0801944514813742 0.71572451753574 0
30190 "Monocyte percentage" "Cell counts" 0.07617 0.00163 0 0.08528 0.00176 0 0.05704 0.00138 0 0.102595097272425 2.25184491074423 0
