family,disorder,field_id,N,age_mean,age_sd,age_median,age_q1,age_q3,sex_0,sex_1,bmi_mean,bmi_sd,bmi_median,bmi_q1,bmi_q3,bmi_missing,smoke_0,smoke_1,smoke_2
F0,Unspecified dementia,130842,41,63.4390243902439,5.886632231114005,65,62,68,21,20,27.600550795221793,4.366896034547541,27.465617266420544,24.603457141726988,30.934256055363328,0,24,16,1
F2,Schizophrenia,130874,107,54.83177570093458,8.301495638498388,55,48,61,39,68,29.097315506078633,5.7643923174999365,28.19692120103642,24.639978861144137,32.94463563767583,2,45,22,40
F3,Manic episode,130890,46,56.04347826086956,8.275684655769524,56,50.25,63,17,29,30.236285239690325,6.079294814426346,29.06985482011043,26.103937759185143,32.781554110225436,0,26,14,6
F3,Bipolar affective disorder,130892,210,55.75238095238095,8.019451176655112,57,50,62,101,109,29.36459735071595,5.868122476029741,28.814400760304125,25.422536028622698,32.33523151553422,0,100,71,39
F3,Depressive episode,130894,4498,55.61960871498444,7.916623428525652,56,49,62,2908,1590,28.295547036447267,5.3874383382456426,27.499999999999996,24.64301253906095,31.05098690716348,33,2118,1631,749
F3,Recurrent depressive disorder,130896,289,55.705882352941174,8.387739067631198,57,49,63,189,100,28.66035534765027,5.778199267631099,28.094419151388372,24.73850748049302,31.714955487686545,3,138,89,62
E1,Non-insulin-dependent diabetes mellitus,130708,1591,60.824638592080454,6.798819457604453,62,57,66,584,1007,31.9983359036216,6.088775076539786,31.301425020132353,27.53191539612437,35.17855389457485,20,691,723,177
E6,Obesity,130792,1562,58.596670934699105,7.535859296005114,60,53,65,858,704,33.64176419039383,6.425357434984958,32.45320468285925,28.794597536389375,37.54710577403555,14,770,637,155
E7,Disorders of lipoprotein metabolism and other lipidaemias,130814,8377,61.18896979825713,6.497867742337856,63,58,66,3457,4920,29.024050239347503,4.89282355410667,28.281249999999996,25.698669728736707,31.56480532213528,58,3860,3627,890
F0,Unspecified dementia,130842,41,63.4390243902439,5.886632231114005,65,62,68,21,20,27.600550795221793,4.366896034547541,27.465617266420544,24.603457141726988,30.934256055363328,0,24,16,1
F3,Bipolar affective disorder,130892,211,55.791469194312796,8.020457368667818,57,50,62,102,109,29.32618837554634,5.88066012289986,28.80527210884354,25.4187249092344,32.30191321737578,0,101,71,39
F3,Depressive episode,130894,4542,55.58828709819463,7.915209336477509,56,49,62,2934,1608,28.285446151016817,5.393216144821524,27.4825241788758,24.62469960363285,31.015624999999996,33,2135,1656,751
F3,Recurrent depressive disorder,130896,288,55.701388888888886,8.401990689212782,56.5,48.75,63,188,100,28.672337683434943,5.784802613070277,28.099173553719012,24.728822314049587,31.74058832495046,3,137,89,62
G2,Parkinson's disease,131022,153,62.032679738562095,5.549322268545851,63,59,66,59,94,27.261671915180102,4.714342009314402,26.845991653759057,24.692535854168153,29.845997857361496,1,89,55,9
G4,Epilepsy,131048,640,56.4375,8.484128604910675,57,49,64,308,332,28.41491462489515,5.3743431600455445,27.511050144794996,24.389325906131205,31.69880624426079,11,334,216,90
G4,Migraine,131052,2304,55.61024305555556,7.93826588412235,56,49,62,1738,566,27.053311597941306,4.921145642087593,26.16739015781573,23.65694603429992,29.68188242318433,2,1358,744,202
G4,Sleep disorders,131060,1077,57.81522748375116,7.723511530500348,59,53,64,506,571,29.985600703848114,6.601268976514717,28.699992825686255,25.231124217360026,33.42279498600274,11,519,426,132
I1,Primary hypertension,131286,14759,60.001490615895385,7.043627078681099,61,56,66,6821,7938,29.405460146525133,5.175915381852178,28.613431818996737,25.84189007833713,32.137666798784515,102,7354,6010,1395
I2,Acute myocardial infarction,131298,1393,62.002871500358935,6.171983680564936,63,59,67,272,1121,29.496035472311473,4.778702691084074,28.930612244897958,26.293048906805524,32.09140409779615,11,453,735,205
I2,Chronic ischaemic heart disease,131306,1949,62.58337609030272,5.684541765601649,64,60,67,488,1461,29.523853345267618,4.879811860015014,28.873059062103476,26.206981286583314,32.163464424486335,21,661,1049,239
I7,Atherosclerosis,131380,97,63.25773195876289,5.154444583955886,65,61,66,26,71,28.28379984191378,4.227473062714418,27.507620844825084,25.63691716071142,30.9284310324893,4,15,56,26
J4,Asthma,131494,6261,56.23766171538093,8.437804396284271,57,49,63,3528,2733,28.175455759021364,5.4294964545681434,27.319204126944232,24.484966912011252,30.709094852016072,33,3264,2333,664
K5,Crohn's disease [regional enteritis],131626,246,56.333333333333336,8.105092041846454,58,50,62.75,130,116,26.86803045721249,4.68559167421303,26.641328122198715,24.118738404452692,29.03457474094594,1,110,97,39
K5,Ulcerative colitis,131628,471,58.50955414012739,7.64167005896929,60,53,65,240,231,27.64964237547194,4.789537322418431,26.986337460950736,24.638859246224108,29.845883840373006,4,222,214,35
L4,Psoriasis,131742,1234,57.392220421393844,7.979097048722505,59,51,64,617,617,28.08952634160628,5.111757631085024,27.215942891136233,24.65590961580475,30.78345884529,5,548,539,147
M0,Seropositive rheumatoid arthritis,131848,50,60.62,6.850860217103084,61,57.25,66.75,31,19,27.769572430886626,4.651800068712289,27.262769280701043,25.964510158402202,30.752551309580486,3,22,23,5
