FID,Name,Type,estimate_mesor,std.error_mesor,p.value_mesor,estimate_beta_cos1,std.error_beta_cos1,p.value_beta_cos1,estimate_beta_sin1,std.error_beta_sin1,p.value_beta_sin1,amplitude_24hfreq,acrophase_24hfreq,pvalue_h
30600,Albumin,Biochemistry,0.00365,0.00029,7e-36,0.00511,0.00031,2e-59,0.00132,0.00025,8e-08,0.00528,0.96873,2e-59
30610,Alkaline phosphatase,Biochemistry,-0.00395,0.00132,0.003,-0.00199,0.00143,0.2,-0.00629,0.00112,2e-08,0.00659,16.83161,2e-08
30620,Alanine aminotransferase,Biochemistry,0.00126,0.00209,0.5,-0.00113,0.00225,0.6,0.00442,0.00176,0.01,0.00456,6.95996,0.01
30630,Apolipoprotein A,Biochemistry,0.01124,0.00082,5e-43,0.00874,0.00088,4e-23,0.01367,0.00069,5e-87,0.01623,3.82603,5e-87
30640,Apolipoprotein B,Biochemistry,0.00611,0.00114,8e-08,-0.00118,0.00123,0.3,0.01556,0.00096,7e-59,0.0156,6.28891,7e-59
30650,Aspartate aminotransferase,Biochemistry,-0.00287,0.00131,0.03,6e-05,0.00141,1,-0.00664,0.00111,2e-09,0.00664,18.03405,2e-09
30660,Direct bilirubin,Biochemistry,-0.01834,0.00182,8e-24,-0.05093,0.00198,1e-145,0.03242,0.00152,2e-101,0.06037,9.83456,1e-145
30670,Urea,Biochemistry,0.02336,0.00115,2e-92,0.04681,0.00124,8e-314,-0.0108,0.00097,6e-29,0.04804,23.13415,8e-314
30680,Calcium,Biochemistry,0.00094,2e-04,2e-06,0.00105,0.00021,9e-07,7e-04,0.00017,3e-05,0.00126,2.25476,9e-07
30690,Cholesterol,Biochemistry,0.00478,0.00097,9e-07,0.00493,0.00105,3e-06,0.00415,0.00082,4e-07,0.00644,2.67573,4e-07
30700,Creatinine,Biochemistry,0.00973,0.00082,1e-32,0.02063,0.00088,1e-120,-0.00605,0.00069,2e-18,0.0215,22.91043,1e-120
30710,C-reactive protein,Biochemistry,-0.03517,0.00517,1e-11,-0.04513,0.00557,6e-16,-0.01842,0.00436,2e-05,0.04875,13.48047,6e-16
30720,Cystatin C,Biochemistry,0.00764,0.00074,3e-25,0.01251,0.00079,5e-56,3e-04,0.00062,0.6,0.01252,0.09027,5e-56
30730,Gamma glutamyltransferase,Biochemistry,-0.02431,0.00289,4e-17,-0.0309,0.00311,3e-23,-0.01313,0.00244,7e-08,0.03358,13.5347,3e-23
30740,Glucose,Biochemistry,-0.01835,9e-04,9e-93,-0.02147,0.00097,6e-109,-0.01246,0.00076,1e-60,0.02482,14.00794,6e-109
30750,Glycated haemoglobin (HbA1c),Biochemistry,-0.00779,0.00075,1e-25,-0.00675,8e-04,5e-17,-0.00854,0.00063,4e-42,0.01088,15.44644,4e-42
30760,HDL cholesterol,Biochemistry,0.01322,0.0012,3e-28,0.01279,0.00129,5e-23,0.01266,0.00101,9e-36,0.01799,2.98123,9e-36
30770,IGF-1,Biochemistry,0.01196,0.00131,6e-20,0.01232,0.00141,3e-18,0.01042,0.00111,4e-21,0.01614,2.68096,4e-21
30780,LDL direct,Biochemistry,0.00831,0.00122,8e-12,0.00299,0.00131,0.02,0.01487,0.00103,2e-47,0.01517,5.24279,2e-47
30790,Lipoprotein A,Biochemistry,-0.01119,0.00614,0.07,-0.01552,0.00662,0.02,-0.0043,0.00519,0.4,0.01611,13.03264,0.02
30800,Oestradiol,Biochemistry,0.0144,0.00623,0.02,0.00639,0.00684,0.4,0.02557,0.00536,2e-06,0.02636,5.06481,2e-06
30810,Phosphate,Biochemistry,-0.03244,0.00068,0,-0.00415,0.00073,1e-08,-0.0683,0.00057,0,0.06843,17.76805,0
30820,Rheumatoid factor,Biochemistry,-0.02058,0.01006,0.04,-0.02396,0.01076,0.03,-0.01379,0.00846,0.1,0.02764,13.9953,0.03
30830,SHBG,Biochemistry,0.00959,0.00235,4e-05,0.0088,0.00253,0.0005,0.00983,0.00198,7e-07,0.0132,3.21144,7e-07
30840,Total bilirubin,Biochemistry,-0.02747,0.00181,7e-52,-0.09422,0.00195,0,0.06637,0.00153,0,0.11524,9.6559,0
30850,Testosterone,Biochemistry,-0.0317,0.00207,8e-53,-0.06534,0.00224,4e-187,0.01754,0.00175,9e-24,0.06765,10.99812,4e-187
30860,Total protein,Biochemistry,0.00252,0.00028,5e-19,0.00227,0.00031,1e-13,0.00265,0.00024,2e-28,0.00349,3.29038,2e-28
30870,Triglycerides,Biochemistry,-0.08348,0.00242,3e-261,-0.03775,0.00261,2e-47,-0.13871,0.00204,0,0.14375,16.98509,0
