FID,Name,Type,estimate_mesor,std.error_mesor,p.value_mesor,estimate_beta_cos1,std.error_beta_cos1,p.value_beta_cos1,estimate_beta_sin1,std.error_beta_sin1,p.value_beta_sin1,amplitude_24hfreq,acrophase_24hfreq,pvalue_h
30600,Albumin,Biochemistry,0.00916,3e-04,1e-200,0.0112,0.00032,6e-261,0.0055,0.00026,7e-102,0.01248,1.74263,6e-261
30610,Alkaline phosphatase,Biochemistry,-0.02592,0.00139,2e-77,-0.02515,0.00149,9e-64,-0.02446,0.00118,1e-95,0.03508,14.94632,1e-95
30620,Alanine aminotransferase,Biochemistry,0.03131,0.00228,5e-43,0.0334,0.00244,1e-42,0.02546,0.00193,7e-40,0.042,2.48767,1e-42
30630,Apolipoprotein A,Biochemistry,-0.00571,0.00091,3e-10,-0.00992,0.00097,2e-24,0.00054,0.00077,0.5,0.00993,11.79097,2e-24
30640,Apolipoprotein B,Biochemistry,0.00479,0.00118,5e-05,-0.00192,0.00126,0.1,0.01344,0.001,2e-41,0.01358,6.54087,2e-41
30650,Aspartate aminotransferase,Biochemistry,-4e-04,0.00139,0.8,0.00345,0.00149,0.02,-0.0056,0.00118,2e-06,0.00658,20.1119,2e-06
30660,Direct bilirubin,Biochemistry,-0.00015,0.00193,0.9,-0.02884,0.00208,9e-44,0.04283,0.00161,2e-156,0.05163,8.26382,2e-156
30670,Urea,Biochemistry,0.00087,0.00122,0.5,0.02271,0.00131,3e-67,-0.02881,0.00103,2e-170,0.03668,20.54991,2e-170
30680,Calcium,Biochemistry,0.00013,2e-04,0.5,0.00022,0.00022,0.3,0,0.00017,1,0.00022,0.05049,0.3
30690,Cholesterol,Biochemistry,-0.00039,0.00103,0.7,-6e-05,0.0011,1,-0.00079,0.00087,0.4,0.00079,17.69483,0.4
30700,Creatinine,Biochemistry,0.02256,0.00102,1e-107,0.03514,0.0011,7e-225,0.00333,0.00087,0.0001,0.0353,0.36103,7e-225
30710,C-reactive protein,Biochemistry,-0.10117,0.00529,1e-81,-0.11725,0.00567,5e-95,-0.06959,0.00448,2e-54,0.13635,14.04612,5e-95
30720,Cystatin C,Biochemistry,-0.01259,0.00082,3e-53,-0.00945,0.00088,5e-27,-0.01562,0.00069,3e-112,0.01826,15.92207,3e-112
30730,Gamma glutamyltransferase,Biochemistry,-0.00903,0.00312,0.004,-0.01233,0.00335,0.0002,-0.0037,0.00264,0.2,0.01287,13.11494,0.0002
30740,Glucose,Biochemistry,-0.0276,0.00092,1e-197,-0.03145,0.00099,3e-223,-0.01971,0.00078,4e-141,0.03712,14.13865,3e-223
30750,Glycated haemoglobin (HbA1c),Biochemistry,-0.02277,0.00078,2e-186,-0.02296,0.00084,6e-165,-0.02032,0.00066,2e-207,0.03066,14.76733,2e-207
30760,HDL cholesterol,Biochemistry,-0.00801,0.00135,3e-09,-0.0106,0.00144,2e-13,-0.00373,0.00114,0.001,0.01124,13.29091,2e-13
30770,IGF-1,Biochemistry,0.0449,0.00138,6e-232,0.04803,0.00148,5e-231,0.03632,0.00117,4e-212,0.06022,2.47316,5e-231
30780,LDL direct,Biochemistry,0.00731,0.00127,8e-09,0.00267,0.00136,0.05,0.01288,0.00107,3e-33,0.01315,5.21787,3e-33
30790,Lipoprotein A,Biochemistry,-0.02894,0.00624,4e-06,-0.03444,0.00668,3e-07,-0.01872,0.00529,0.0004,0.0392,13.90197,3e-07
30800,Oestradiol,Biochemistry,0.05713,0.00737,9e-15,0.05432,0.00803,1e-11,0.05898,0.00636,2e-20,0.08018,3.15693,2e-20
30810,Phosphate,Biochemistry,-0.03942,0.00072,0,-0.01142,0.00077,4e-50,-0.07356,0.00061,0,0.07444,17.41152,0
30820,Rheumatoid factor,Biochemistry,-0.03461,0.0102,0.0007,-0.03853,0.01086,0.0004,-0.02542,0.0086,0.003,0.04616,14.22762,0.0004
30830,SHBG,Biochemistry,-0.04367,0.00266,9e-61,-0.05132,0.00284,1e-72,-0.02909,0.00225,3e-38,0.05899,13.96952,1e-72
30840,Total bilirubin,Biochemistry,-0.0073,0.00193,0.0002,-0.07247,0.00207,4e-269,0.08174,0.00163,0,0.10924,8.77051,0
30850,Testosterone,Biochemistry,0.19924,0.0067,2e-194,0.19805,0.00719,7e-167,0.18211,0.00566,7e-227,0.26905,2.83992,7e-227
30860,Total protein,Biochemistry,0.00444,0.00029,2e-53,0.00435,0.00031,5e-45,0.00414,0.00024,2e-64,0.00601,2.90541,2e-64
30870,Triglycerides,Biochemistry,-0.08747,0.00255,9e-258,-0.0399,0.00273,3e-48,-0.14348,0.00216,0,0.14893,16.96396,0
30880,Urate,Biochemistry,0.0131,0.00132,5e-23,0.01053,0.00142,1e-13,0.01531,0.00112,2e-42,0.01858,3.69897,2e-42
30890,Vitamin D,Biochemistry,-0.01257,0.00216,6e-09,-0.02652,0.00231,2e-30,0.00752,0.00183,4e-05,0.02757,10.94416,2e-30
30000,Leukocyte count,Cell counts,-0.05264,0.00121,0,-0.00021,0.0013,0.9,-0.11833,0.00103,0,0.11833,17.99333,0
30010,Red blood cell (erythrocyte) count,Cell counts,0.01335,0.00047,9e-180,0.00789,5e-04,6e-56,0.01944,4e-04,0,0.02098,4.52843,0
30020,Haemoglobin concentration,Cell counts,0.01089,0.00044,1e-132,0.006,0.00048,2e-36,0.01645,0.00038,0,0.01751,4.66469,0
30030,Haematocrit percentage,Cell counts,0.01117,0.00044,4e-142,0.00495,0.00047,9e-26,0.01848,0.00037,0,0.01913,5.0011,0
30040,Mean corpuscular volume,Cell counts,-0.00218,0.00024,2e-19,-0.00294,0.00026,8e-30,-0.00096,2e-04,3e-06,0.00309,13.20414,8e-30
30050,Mean corpuscular haemoglobin,Cell counts,-0.00242,0.00029,1e-16,-0.00184,0.00031,4e-09,-0.00298,0.00025,2e-33,0.0035,15.885,2e-33
30060,Mean corpuscular haemoglobin concentration,Cell counts,-0.00026,0.00013,0.05,0.00107,0.00014,4e-14,-0.00203,0.00011,8e-73,0.00229,19.85927,8e-73
30070,Red blood cell (erythrocyte) distribution width,Cell counts,-0.00373,0.00032,9e-31,-0.0046,0.00035,3e-40,-0.00219,0.00027,1e-15,0.00509,13.69599,3e-40
30080,Platelet count,Cell counts,-0.0062,0.00119,2e-07,-0.00035,0.00128,0.8,-0.0135,0.00101,1e-40,0.01351,17.90228,1e-40
30090,Platelet crit,Cell counts,-0.0102,0.00106,6e-22,-0.00501,0.00114,1e-05,-0.01623,9e-04,5e-73,0.01699,16.85715,5e-73
30100,Mean platelet (thrombocyte) volume,Cell counts,-0.00395,0.00056,1e-12,-0.00459,6e-04,1e-14,-0.0027,0.00047,1e-08,0.00533,14.03169,1e-14
30110,Platelet distribution width,Cell counts,-0.00093,0.00015,1e-09,0.00022,0.00016,0.2,-0.0024,0.00013,1e-76,0.00241,18.35612,1e-76
30120,Lymphocyte count,Cell counts,0.0013,0.00154,0.4,0.07921,0.00165,0,-0.10396,0.0013,0,0.1307,20.48694,0
30130,Monocyte count,Cell counts,0.02729,0.00181,1e-51,0.08904,0.00193,0,-0.05866,0.00153,2e-321,0.10662,21.77498,0
30140,Neutrophill count,Cell counts,-0.09252,0.00162,0,-0.05157,0.00173,1e-194,-0.13888,0.00137,0,0.14815,16.64188,0
