FID,Name,Type,r2_Residuals,r2_PCs,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel
20280,Glucose-lactate,Metabolites,0.8645,0.0018,0.021,0.0081,0.0119,0.0244,1e-04,0.0022,7e-04,5e-04,0.0336,0.0308,3e-04,,,,,,,6e-91,NA,0,0,0,0,2e-11,2e-135,9e-30,2e-36,0,0,2e-19,NA,NA,NA,NA,NA,NA
20281,Alanine,Metabolites,0.8714,0.0046,0.0032,0.0056,0.0304,0.0176,0.0175,0.0019,0.0154,0.0019,1e-04,8e-04,0.0296,,,,,,,7e-179,NA,1e-163,0,0,0,0,3e-117,0,5e-130,7e-06,2e-38,0,NA,NA,NA,NA,NA,NA
23400,Total Cholesterol,Metabolites,0.8588,0.0036,0.022,0.0039,0.0049,0.009,5e-04,0.0012,0.0696,4e-04,0.0202,0.0058,0,,,,,,,4e-203,NA,0,3e-243,0,0,2e-35,2e-73,0,2e-28,0,0,0.1,NA,NA,NA,NA,NA,NA
23401,Total Cholesterol Minus HDL-C,Metabolites,0.9188,0.0029,0.0249,0.0038,0.0033,1e-04,5e-04,0.0011,0.0246,6e-04,0.015,0.0037,6e-04,,,,,,,2e-162,NA,0,3e-220,7e-198,5e-06,1e-30,3e-63,0,1e-39,0,8e-216,8e-43,NA,NA,NA,NA,NA,NA
23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",Metabolites,0.9263,0.004,0.0249,0.0042,0.0024,0.001,1e-04,0.0013,0.0261,9e-04,0.0078,8e-04,1e-04,,,,,,,5e-228,NA,0,5e-243,5e-139,1e-67,1e-08,1e-71,0,3e-55,0,9e-39,3e-10,NA,NA,NA,NA,NA,NA
23403,VLDL Cholesterol,Metabolites,0.9198,0.0058,0.0238,0.0044,0.002,0.0226,0,0.0011,0.0139,0.0016,0.0041,4e-04,4e-04,,,,,,,2e-300,NA,0,1e-258,2e-118,0,0.4,2e-64,2e-72,2e-103,4e-252,3e-14,5e-27,NA,NA,NA,NA,NA,NA
23404,Clinical LDL Cholesterol,Metabolites,0.9132,0.0014,0.022,0.0031,0.0033,9e-04,0.0015,9e-04,0.0247,9e-04,0.0207,0.0041,0.0034,,,,,,,2e-73,NA,0,7e-177,2e-196,9e-58,4e-95,5e-51,0,7e-57,0,2e-243,6e-220,NA,NA,NA,NA,NA,NA
23405,LDL Cholesterol,Metabolites,0.9048,0.0019,0.0235,0.0034,0.0059,1e-04,0.001,0.001,0.0214,5e-04,0.0246,0.0084,0.0035,,,,,,,1e-98,NA,0,5e-197,0,8e-10,5e-63,1e-57,0,6e-30,0,0,1e-225,NA,NA,NA,NA,NA,NA
23406,HDL Cholesterol,Metabolites,0.6936,0.0032,0.0022,0.0031,0.004,0.0862,1e-04,7e-04,0.1854,0.0024,0.011,0.0044,0.0038,,,,,,,4e-94,NA,7e-148,1e-243,0,0,8e-07,7e-51,0,1e-200,0,0,1e-315,NA,NA,NA,NA,NA,NA
23407,Total Triglycerides,Metabolites,0.8316,0.0087,0.0166,0.0054,0.0027,0.0772,0.0026,8e-04,0.0425,0.0049,0.0026,0.0017,0.0027,,,,,,,0,NA,0,0,3e-175,0,9e-185,6e-48,0,0,8e-179,1e-100,2e-187,NA,NA,NA,NA,NA,NA
23408,Triglycerides in VLDL,Metabolites,0.82,0.0089,0.0133,0.0054,0.0027,0.0809,0.0027,8e-04,0.0553,0.0041,0.0024,0.0012,0.0021,,,,,,,0,NA,0,0,3e-180,0,3e-193,2e-50,0,3e-291,7e-162,2e-72,9e-154,NA,NA,NA,NA,NA,NA
23409,Triglycerides in LDL,Metabolites,0.8877,0.0041,0.0269,0.0035,0.0032,0.0455,2e-04,6e-04,0.0101,0.0073,0.0036,0.0065,9e-04,,,,,,,2e-200,NA,0,7e-210,2e-193,0,4e-12,4e-30,5e-179,0,1e-230,0,1e-57,NA,NA,NA,NA,NA,NA
23410,Triglycerides in HDL,Metabolites,0.9057,0.0052,0.0209,0.004,0.0023,0.0341,0.004,6e-04,0.004,0.005,0.0043,0.0011,0.0089,,,,,,,9e-299,NA,0,1e-237,2e-134,0,6e-256,3e-29,4e-24,2e-321,6e-270,5e-55,0,NA,NA,NA,NA,NA,NA
